plot,period,treatment,DipoN,date,month,Year,Time
6,436,EC,0,3/26/2015,3,2015,16.52
13,436,EC,0,3/26/2015,3,2015,16.52
18,436,EC,0,3/26/2015,3,2015,16.52
6,437,EC,0,4/18/2015,4,2015,16.543
13,437,EC,2,4/18/2015,4,2015,16.543
18,437,EC,1,4/18/2015,4,2015,16.543
6,438,EC,3,5/16/2015,5,2015,16.571
13,438,EC,3,5/16/2015,5,2015,16.571
18,438,EC,3,5/16/2015,5,2015,16.571
6,439,EC,2,6/13/2015,6,2015,16.599
13,439,EC,4,6/13/2015,6,2015,16.599
18,439,EC,4,6/13/2015,6,2015,16.599
6,440,EC,4,7/18/2015,7,2015,16.634
13,440,EC,3,7/18/2015,7,2015,16.634
18,440,EC,4,7/18/2015,7,2015,16.634
6,441,EC,3,8/22/2015,8,2015,16.669
13,441,EC,2,8/22/2015,8,2015,16.669
18,441,EC,6,8/22/2015,8,2015,16.669
6,442,EC,5,9/12/2015,9,2015,16.69
13,442,EC,5,9/12/2015,9,2015,16.69
18,442,EC,5,9/12/2015,9,2015,16.69
6,443,EC,5,10/10/2015,10,2015,16.718
13,443,EC,5,10/10/2015,10,2015,16.718
18,443,EC,5,10/10/2015,10,2015,16.718
6,444,EC,4,11/14/2015,11,2015,16.753
13,444,EC,5,11/14/2015,11,2015,16.753
18,444,EC,5,11/14/2015,11,2015,16.753
6,444.5,EC,4,12/15/2015,12,2015,16.784
13,444.5,EC,4,12/15/2015,12,2015,16.784
18,444.5,EC,5,12/15/2015,12,2015,16.784
6,445,EC,3,1/10/2016,1,2016,16.81
13,445,EC,3,1/10/2016,1,2016,16.81
18,445,EC,5,1/10/2016,1,2016,16.81
6,446,EC,3,2/13/2016,2,2016,16.844
13,446,EC,4,2/13/2016,2,2016,16.844
18,446,EC,5,2/13/2016,2,2016,16.844
6,447,EC,3,3/19/2016,3,2016,16.879
13,447,EC,4,3/19/2016,3,2016,16.879
18,447,EC,5,3/19/2016,3,2016,16.879
6,448,EC,4,4/10/2016,4,2016,16.901
13,448,EC,4,4/10/2016,4,2016,16.901
18,448,EC,6,4/10/2016,4,2016,16.901
6,449,EC,5,5/7/2016,5,2016,16.928
13,449,EC,7,5/7/2016,5,2016,16.928
18,449,EC,7,5/7/2016,5,2016,16.928
6,450,EC,4,6/4/2016,6,2016,16.956
13,450,EC,2,6/4/2016,6,2016,16.956
18,450,EC,6,6/4/2016,6,2016,16.956
6,451,EC,4,7/2/2016,7,2016,16.984
13,451,EC,1,7/2/2016,7,2016,16.984
18,451,EC,4,7/2/2016,7,2016,16.984
6,452,EC,4,8/6/2016,8,2016,17.019
13,452,EC,2,8/6/2016,8,2016,17.019
18,452,EC,4,8/6/2016,8,2016,17.019
6,453,EC,6,9/3/2016,9,2016,17.047
13,453,EC,1,9/3/2016,9,2016,17.047
18,453,EC,6,9/3/2016,9,2016,17.047
6,454,EC,4,10/1/2016,10,2016,17.075
13,454,EC,3,10/1/2016,10,2016,17.075
18,454,EC,3,10/1/2016,10,2016,17.075
6,455,EC,2,11/5/2016,11,2016,17.11
13,455,EC,2,11/5/2016,11,2016,17.11
18,455,EC,3,11/5/2016,11,2016,17.11
6,457,EC,4,1/7/2017,12,2016,17.173
13,457,EC,1,1/7/2017,12,2016,17.173
18,457,EC,7,1/7/2017,12,2016,17.173
6,458,EC,3,1/28/2017,1,2017,17.194
13,458,EC,5,1/28/2017,1,2017,17.194
18,458,EC,3,1/28/2017,1,2017,17.194
6,459,EC,4,2/25/2017,2,2017,17.222
13,459,EC,2,2/25/2017,2,2017,17.222
18,459,EC,3,2/25/2017,2,2017,17.222
6,460,EC,5,3/28/2017,3,2017,17.253
13,460,EC,7,3/28/2017,3,2017,17.253
18,460,EC,7,3/28/2017,3,2017,17.253
6,461,EC,4,4/29/2017,4,2017,17.285
13,461,EC,2,4/29/2017,4,2017,17.285
18,461,EC,5,4/29/2017,4,2017,17.285
